Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Senior Data Scientist - Ads Optimization,$119K - $179K (Employer est.),"Your Job
This role sits within the SMB Ads Optimization Team. At Indeed, SMB Ads are sponsored jobs created by employers that are looking for the right candidates in Indeed’s marketplace. We decide which sponsored jobs will be presented to job seekers in different channels by considering the employer's willingness to pay. In Indeed’s search, one of Indeed’s main channels, we do this by solving an auction at search time. However, in general, we combine multiple bidding and pricing strategies with optimization algorithms to define the right pricing strategy at the right moment.

As a Data Scientist in the SMB Ads Optimization team, your role is to design and build different mechanisms to find the right value to charge our customers. We are looking for a mixture of statistician, scientist, machine learning expert, and engineer: someone who has passion for building and improving Internet-scale products informed by data. You will be directly influencing Indeed's ads platform's future and responsible for improving our marketplace experimentation strategy. Last but not least, you will spend time understanding and making sense of highly non-linear systems while figuring out how to optimize them.




We are a rapidly growing and highly-capable Engineering organization building the most popular job site on the planet. With engineering hubs in Seattle, San Francisco, Austin, Tokyo, Singapore, Hyderabad, Dublin, Aberdeen and Vancouver, we are improving people's lives all around the world, one job search at a time.",4.3,"Indeed
4.3",Remote,10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD)
Big Data Scientist / Remote / Senior,$119K - $179K (Employer est.),"Location of role: 100% remote role
Salary or Hourly range: up to 175K Depending on experience DOE
Key Points of the role:
Masters or PhD in a quantitative discipline (Computer Science Mathematics Statistics ML/AI Engineering Econometrics or equivalent).
7-10 years experience and high proficiency in data acquisition and manipulation of large datasets using databases in multiple environments.
7-10 years experience and high proficiency in Big Data programming languages.
High proficiency in the use of statistical packages.
Advanced experience and deep fundamental knowledge of supervised unsupervised reinforcement learning machine learning algorithms such as classifiers cluster analysis dimension reduction regression ANN CNN RNN Gradient Boosting Random Forests Bayesian Inference NLP/NLU etc. predictive and optimization modeling.",5.0,"Paul May & Associates
5.0",Remote,1 to 50 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Sr. Data Analyst/Scientist,$119K - $179K (Employer est.),"Are you interested in defining the future of creativity by making it fast, fun, and frictionless to make sophisticated-looking content? Passionate about the next generation of users and building modern solutions that connect to leading social and digital platforms?
We are a group of storytellers, technology innovators, and change agents. Building off Adobe Spark’s initial success, we are now re-imagining (from the ground up!) the way people discover, create, and publish the full range of media types - from graphics to imaging to video - right in the browser and on their mobile devices. Our aim is to build fast and easy product experiences that enable students, social influencers, marketers, small businesses - really anyone with something to say - to make something that will stand out and impress their audience. Join us in building a new creativity platform that will help define Creative Cloud and Adobe’s Digital Media business!
We are seeking an experienced Sr Data Science Analyst to support the Adobe Spark and CC Education teams. This role is a strategic role, partnering with product managers and the leadership team making key decisions about the direction of our products. We’re looking for someone who has experience and passion about behavioral analysis for software products.",4.4,"Adobe
4.4","Seattle, WA",10000+ Employees,1982,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD)
Sr Data Scientist,$119K - $179K (Employer est.),"Who we are: At PayPal (NASDAQ: PYPL), we believe that every person has the right to participate fully in the global economy. Our mission is to democratize financial services to ensure that everyone, regardless of background or economic standing, has access to affordable, convenient, and secure products and services to take control of their financial lives. We’re a purpose-driven company, and our beliefs are the foundation of how we conduct business every day. We’re guided by our core values of Inclusion, Innovation, Collaboration, and Wellness. Collectively, these values inspire us to work together as One Team with our customers at the center of everything we do, and to take care of ourselves, each other, and the communities in which we live and work. We challenge the status quo, ask questions, and find solutions. Join us as we enable the hopes, dreams, and ambitions of millions of people around the world.
Job Description Summary: We are hiring a Data Scientist to help develop PayPal’s Risk strategy within the Identity Risk Lifecycle team. This team is responsible for (1) understanding the people behind our accounts, (2) connecting real world assets to these identities to develop trust and (3) using both sets of data to limit fraud scalability and enable good payment volume. Data Scientists on this team are responsible for developing and implementing new risk strategies to ‘challenge’ users to enable good and prevent bad payment volume. Key to this is understanding the funnel so that we can identify friction points and opportunities to improve Good User Pass Rates, including implementing and monitoring existing strategies, developing new strategies to prevent loss, partnering with Product and other Data Science teams to develop new attributes, models, and product requirements to ensure we deliver the best possible customer experience while meeting loss and revenue targets. Furthermore, Data Scientists will partner with teams from across the global to identify, coordinate and react quickly to prevent new and emerging fraud trends, thus preventing losses. If you’re interested in working within the Identify Risk Lifecycle team to solve these emerging, interesting, and complex challenges, then please apply!",4.1,"PayPal
4.1","San Jose, CA",10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD)
Data Scientist,$119K - $179K (Employer est.),"A growing biotech company is looking for a data scientist. This role is within a well-funded protein design company that focuses on computational modeling, artificial intelligence, and machine learning. Candidates will be assisting the team with developing novel drugs by using machine learning and artificial intelligence on novel protein data bases. This position offers excellent room for growth and experience within a growing company. This position provides a challenging work environment with competitive compensation.

Responsibilities include:
Program automated repetitive manual data handling tasks
Build supervised and unsupervised models for the computational design of synthetic protein sequences with desired structure and function.
Assess intra-experiment and inter-experiment data for correlation and statistical significance",4.3,"Momentum Staffing Group LLC
4.3","Boston, MA",51 to 200 Employees,2008,Private Practice / Firm,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD)
Senior Data Scientist,$119K - $179K (Employer est.),"Become a Part of the NIKE, Inc. Team


NIKE, Inc. does more than outfit the world’s best athletes. It is a place to explore potential, obliterate boundaries and push out the edges of what can be. The company looks for people who can grow, think, dream and create. Its culture thrives by embracing diversity and rewarding imagination. The brand seeks achievers, leaders and visionaries. At NIKE, Inc. it’s about each person bringing skills and passion to a challenging and constantly evolving game.

WHO ARE WE LOOKING FOR?











What you bring to nike:",4.1,"NIKE INC
4.1","Warren, OR",10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD)
Data Scientist,$119K - $179K (Employer est.),"MetLife Legal Plans is the leading consumer legal service in the United States, providing the best legal services for working families. Through our network of over 17,000 attorneys, members of our legal insurance plans can resolve legal matters that range from buying a new home to adopting a child. You can learn more at legalplans.com.
Whether you are making a will after starting a family, negotiating the contract on your dream home, or just want the peace of mind of having our attorneys on your side, we make it easy and affordable to get quality legal help.
About the role
At MetLife Legal Plans, we build technology that makes it easy to solve legal problems. With millions of customers, we rely on data-driven decision making to improve our business. We are looking for a data scientist to join our team and help us organize and analyze all of our data.",-1,MetLife Legal Plans,Remote,-1,-1,-1,-1,-1,-1
"Senior Data Scientist/ Assistant Director, Data Science",$119K - $179K (Employer est.),"At Liberty Mutual, our purpose is to help people embrace today and confidently pursue tomorrow. That's why we provide an environment focused on openness, inclusion, trust and respect. Here, you'll discover our expansive range of roles, and a workplace where we aim to help turn your passion into a rewarding profession.
Liberty Mutual has proudly been recognized as a “Great Place to Work” by Great Place to Work® US for the past several years. We were also selected as one of the “100 Best Places to Work in IT” on IDG's Insider Pro and Computerworld's 2020 list. For many years running, we have been named by Forbes as one of America's Best Employers for Women and one of America's Best Employers for New Graduates—as well as one of America's Best Employers for Diversity. To learn more about our commitment to diversity and inclusion please visit: https://jobs.libertymutualgroup.com/diversity-inclusion
We value your hard work, integrity and commitment to make things better, and we put people first by offering you benefits that support your life and well-being. To learn more about our benefit offerings please visit: https://LMI.co/Benefits


17",3.8,"Liberty Mutual Insurance
3.8",Remote,10000+ Employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD)
"Assistant Director, Data Science (STP)",$119K - $179K (Employer est.),"Do you want to work cross-functionally in a dynamic, creative, and high energy environment to accelerate the growth of GRM US Distribution? If so, join our team!
The Internal Agency Team is looking to hire a Assistant Director, Data Science to help continue building the data science foundations for a growing business! This role will be part of the Internal Agency Insights & Solutions team and will help the team win with data in order to propel our business forward.
In this role you will collaborate with the Internal Agency and many business partners to develop predictive analytic solutions that enable data-driven strategic decision making. The candidate will utilize current and emerging data science techniques to manipulate large structured and unstructured data sets, identify patterns in raw data, and develop models to predict the likelihood of a future outcome and/or to optimize business solutions. This candidate will also be our liaison with the Office of Data Science and will have many opportunities to influence and drive both data science and business strategy for the organization.

17",3.8,"Liberty Mutual Insurance
3.8",Remote,10000+ Employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD)
Sr. Data Scientist,$119K - $179K (Employer est.),"At Trane Technologies® we Challenge Possible. Our brands – including Trane® and Thermo King® - create access to cooling and comfort in buildings and homes, transport and protect food and perishables, connect customers to elevated performance with less environmental impact, dramatically reduce energy demands and carbon emissions, and innovate with a better world in mind. We boldly challenge what’s possible for a sustainable world.

Job Summary：
Do you want to help save the planet? Do you want to directly contribute to an organization committed to reduce its customer carbon footprint by 1 Gigaton of Carbon Dioxide? As a world leader in creating comfortable, sustainable and efficient environments, it’s our responsibility to put the planet first. For us at Trane Technologies, sustainability is not just how we do business—it is our business. Sustainability is at the center of our strategy and influences how we make every decision.",3.9,"Trane Technologies
3.9","Minneapolis, MN",10000+ Employees,2020,Company - Public,Industrial Manufacturing,Manufacturing,Unknown / Non-Applicable
Senior Data Scientist,$119K - $179K (Employer est.),"Overview
Intuit is looking for innovative and hands-on Senior Data scientist to join the Intuit AI team. This team embeds artificial intelligence and machine learning into our product portfolio and business to create smarter products, improve anti-fraud and security, and enhance customer care. We aim to save our customers time (""Never enter data""), increase their prosperity by making actionable financial recommendations, and enable them to have complete confidence in our products
What you'll bring
BS, MS, or PhD in an appropriate technology field (Computer Science, Statistics, Applied Math, Operations Research, etc.)",4.2,"Intuit
4.2","Mountain View, CA",5001 to 10000 Employees,1983,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD)
"Data Scientist Personalization- (Remote AZ, CA, CT, FL, IL, MD, MA, MI, MS, NV, NJ, NY, OH, PA, TX, VA, WA)",$119K - $179K (Employer est.),"Location:
US, Nevada
Become one of the stars behind The SHOW and become part of the world’s most powerful entertainment brands. Our Company has one exciting mission: To entertain the human race.
PRIMARY PURPOSE:
MGM Resorts International is embarking on a multi-year journey to redefine the casino resort and entertainment experience for guests, in order to deliver a 1:1 personalized experience. To support this effort, a highly cross-functional Personalization team is being formed within the Commercial group. This team will be tasked with rapidly building, testing, and scaling high-priority use cases that drive incremental revenues and move the business closer to the goal of a 1:1 personalized guest experience. These use cases require development of advanced analytical models and data features, including implementation of current and emerging machine learning techniques. This role directly supports the creation and evolution of these tools.The Data Scientist role resides in the Personalization group within the MGM Commercial organization, reporting to the Personalization leader. The Data Scientist is a critical contributor to the mobilization of MGM’s Personalization effort, as well as the continual testing-optimizing-scaling of Personalization use cases. The Data Scientist will be working collaboratively with the Data Architecture, Data Science, Systems Integration, and Business Strategy teams within the cross-functional Personalization team. This role is responsible for all aspects of the analytical modeling and machine learning implementation within the lab, as well as the experimental design, test execution, and measurement required to enable MGM Resorts’ Personalization use cases.",3.6,"MGM Resorts International
3.6","Las Vegas, NV",10000+ Employees,2001,Company - Public,"Hotels, Motels, & Resorts",Travel & Tourism,$10+ billion (USD)
Data Scientist,$119K - $179K (Employer est.),"The NSA Story The National Security Agency (NSA) exists to obtain insight into foreign adversaries' plans and intentions and protect our U.S. cybersecurity interests. We provide national security insights and threat warnings to government decision-makers and eradicate cybersecurity threats. How You Can Contribute Data science is present in every aspect of the NSA mission. Are you ready to use your technical expertise to analyze large data sets to inform decision-makers against foreign threats? Data scientists at NSA tackle high priority, often lifesaving, foreign intelligence and cybsersecurity challenges by leveraging big data, high-performance computing, machine learning, and a breadth of other methodologies. Data scientists have opportunities to attend technical conferences with experts from industry and academia as well as explore and share NSA's challenges and successes at technical roundtables. Responsibilities - Exploratory data analysis and exploratory model-fitting to reveal data features of interest - Machine-learned predictive modeling - Construct usable data sets from multiple sources to meet customer needs - Identifying and analyzing anomalous data (including metadata) - Developing conceptual design and models to address mission requirements - Developing qualitative and quantitative methods for characterizing datasets in various states. - Performing analytic modeling, scripting, and/or programming - Working collaboratively and iteratively throughout the data-science lifecycle - Designing and developing analytics and techniques for analysis - Analyzing data using mathematical and statistical methods - Evaluating, documenting, and communicating research processes, analyses, and results to customers, peers, and leadership - Creating interpretable visualizations",3.6,"National Security Agency
3.6","Fort Meade, MD",Unknown,-1,Government,Federal Agencies,Government,Unknown / Non-Applicable
Image Data Scientist - Computational Pathology,$119K - $179K (Employer est.),"At Reveal, we believe that data matters. Help us use the power of data to innovate the field of pathology and improve global healthcare. Our proprietary deep learning-based platform, ImageDx™, delivers scientists and pathologists a novel class of actionable, quantitative data to accelerate research and enhance patient care.
We are seeking an enthusiastic and talented image data scientist to join our computational pathology team. The successful candidate will be a key member of the team developing new technical approaches for our computer-assisted diagnosis digital pathology products. This is an excellent opportunity to work on challenging, interesting projects with great potential for significant societal impact.
The successful candidate will enjoy working in a highly collaborative environment developing, cutting-edge products. Excellent communication and creative problem-solving skills are required. Previous experience in digital pathology, high content screening, or large biomedical image sets is a plus.",4.7,"Reveal Biosciences
4.7","San Diego, CA",1 to 50 Employees,-1,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Less than $1 million (USD)
Director of Architecture - Data and Analytics,$119K - $179K (Employer est.),"Xero is a beautiful, easy-to-use platform that helps small businesses and their accounting and bookkeeping advisors grow and thrive.

At Xero, our purpose is to make life better for people in small business, their advisors, and communities around the world. This purpose sits at the centre of everything we do. We support our people to do the best work of their lives so that they can help small businesses succeed through better tools, information and connections. Because when they succeed they make a difference, and when millions of small businesses are making a difference, the world is a more beautiful place.

How you’ll make an impact...

The Director of Architecture - Data and Analytics is responsible for the overall architectural direction, feasibility, usability and coherence of analytical data usage, machine learning and artificial intelligence at Xero.",4.3,"Xero
4.3",Remote,201 to 500 Employees,2006,Company - Public,Computer Hardware & Software,Information Technology,$100 to $500 million (USD)
Machine Learning Scientist / Data Scientist,$119K - $179K (Employer est.),"Location: this is a remote position
Classification: Exempt
Reports to: Chief Scientific Officer
Date: 10/15/2021
Who is Dynam.AI?
Dynam.AI provides customers across the globe with platform-enabled AI solutions built to uplevel any organization in any industry. Dynam.AI's detection, prediction, and optimization technologies have emerged from years of intensive research and development by a team of world-leading AI physicists and engineers. Dynam.AI's suite of AI-enabled solutions is uniquely adaptable to tackle specific business needs, all while setting the industry standard in precision and accuracy. Dynam.AI is a portfolio company of Analytics Ventures, named Best VC for Artificial Intelligence by Awards.AI.",-1,Dynamai Inc,"San Diego, CA",-1,-1,-1,-1,-1,-1
Data Scientist and Engineer,$119K - $179K (Employer est.),"DATA SCIENTIST
Here's your rare opportunity to join our client's exciting, fast-growing, and dynamic team in Suffern, NY!
About you:
You have 3++ years of solid expertise in developing market forecasting, analysis and campaign reporting.
You have strong experience in R or Python
Java, Alteryx, VBA, SQL, ETL a plus.
You’re well-spoken, and can verbally communicate well with Fortune 500 clients.",-1,PAIIR Solutions,"Suffern, NY",-1,-1,-1,-1,-1,-1
Data Scientist,$119K - $179K (Employer est.),"Chewy is looking for a Data Scientist or Statistician or Economist with a background in marketing measurement to join the Measurement Science team at Chewy. The team is committed to developing data-drive solutions, advancing measurement capabilities, building optimization frameworks, establishing best practices, and identifying growth opportunities across marketing channels, using methodologies such as marketing mix modeling (MMM), testing / experimentation, attribution, causal Inference, forecasting, 3rd party solutions, etc.
As we grow the Measurement Science function within the Marketing Science & Operations team and set up various capabilities from ground up, you will have the opportunity to operate or lead as a full-stack data scientist. In that capacity, you will have the opportunity to develop backend modeling frameworks, solve business problems, design experiments, build pipelines to streamline model development, partner with media partners and 3rd-party vendors to identify and implement new capabilities and best measurement practices, etc. For such efforts, you have chance to work closely with business partners, Analytics, Product and Tech teams, as well as external parties.",3.2,"Chewy
3.2","Bellevue, WA",10000+ Employees,2011,Company - Public,Pet & Pet Supplies Stores,Retail,$2 to $5 billion (USD)
Sr. Data Scientist,$119K - $179K (Employer est.),"Location: 1000 Nicollet Mall, Minneapolis, Minnesota, United States, 55403-2542
Join Target’s Data Science and Analytics team where your goal will be to accelerate omni-channel experimentation to foster a culture of continuous innovation at Target. We believe that continuous innovation is critical to delivering and exceeding our brand promise of “Expect More Pay Less” to Target’s guests irrespective of their preferred channel of engagement and commerce. You will enable continuous innovation and drive business performance in our Merch Planning Data Sciences space.
A role with Data Science and Analytics is a chance to help develop our in-house strength for getting the maximum value from Target’s many data assets. We see data as a product and an opportunity to experiment and refine our approach to new guest experiences. Together, we positively impact changes to various initiatives, processes and interdependencies that require exceptional data collection, measurement and analysis—ultimately leading to quicker and more meaningful decision-making. This is a role for someone passionate about data, feature experimentation and business strategy.",3.7,"Target
3.7","Minneapolis, MN",10000+ Employees,1962,Company - Public,General Merchandise & Superstores,Retail,$10+ billion (USD)
Sr. Principal Data Scientist,$119K - $179K (Employer est.),"Requisition ID: R10008109
Category: Research and Sciences
Location: San Antonio - TX, United States of America
Clearance Type: Top Secret
Telecommute: Yes- May Consider Full Time Teleworking for this position
Shift: Days (United States of America)
Travel Required: Yes, 10% of the Time",4.0,"Northrop Grumman
4.0","San Antonio, TX",10000+ Employees,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
Multi-omics Data Scientist,$119K - $179K (Employer est.),"45 data scientists forming a multicultural and multidisciplinary team passionate for hunting drugs and targets, pre-clinical model characterization, understanding disease mechanisms, developing and applying computational approaches to catalyze early drug discovery. That’s who we are. Our mission is to enable and uncover breakthrough science for the discovery of innovative medicine. Do you share our same values and vision? This is a role waiting for you!

You'll work at the cutting edge of data science to solve important challenges in drug discovery by applying their technical and computational abilities for curating, integrating and mining complex biological data from different technologies, species and conditions.

As a member of the 200+ strong data science community at the Novartis Institutes for BioMedical Research (NIBR), you'll also benefit from a global community with extensive know-how and resources in data analysis, data engineering, and machine learning.

Your responsibilities will include:

- Playing a key role in an interdisciplinary team to link and reveal the interconnection of single cell transcriptomics with genetics and proteomics by applying your expertise in any or all of functional-, structural- and epi-genomics.







What you’ll bring to the role:








Desirable Skills:



Why consider Novartis?

769 million. That’s how many lives our products touched in 2020. And while we’re proud of that fact, in this world of digital and technological transformation, we must also ask ourselves this: how can we continue to improve and extend even more people’s lives?

We believe the answers are found when curious, courageous and collaborative people like you are brought together in an inspiring environment. Where you’re given opportunities to explore the power of digital and data. Where you’re empowered to risk failure by taking smart risks, and where you’re surrounded by people who share your determination to tackle the world’s toughest medical challenges.

Imagine what you could do at Novartis!

Commitment to Diversity & Inclusion:

Novartis is committed to building an outstanding, inclusive work environment and diverse team’s representative of the patients and communities we serve.

We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation.",4.2,"Novartis
4.2","Cambridge, MA",10000+ Employees,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
Data Scientist,$119K - $179K (Employer est.),"We are adding a Data Scientist to our growing team!

ABOUT AMERICAN CAPITAL GROUP
American Capital Group (ACG) is a fully-integrated real estate investment and development company. The company has designed and built more than 80 multifamily properties across 12 states over its 33 year history. Today, ACG is an industry leader with dedicated personnel in Engineering, Design, Acquisition, Development, Construction, Property Management, and Investment Management. We strongly value teamwork, integrity, transparency and strive to deliver the highest quality products and services to our investors and customers.",4.3,"American Capital Group
4.3","Bellevue, WA",51 to 200 Employees,1986,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable
Principal Data Scientist,$119K - $179K (Employer est.),"What We're Looking For:
The Data Scientist IV will lead advanced analytical research, development, and implementation. This is a highly quantitative role that requires elite analytical aptitude, strong programming skills, and intellectual curiosity. We are looking for someone who has a history of using data science to solve business problems, has extensive experience running experiments at scale in enterprise settings, is comfortable training and evaluating machine learning models in production, and has a proven ability to be a technical leader.
Responsibilities Include, But Are Not Limited To:
Design and execute business and technical processes needed for experimentation to support an array of business problems from marketing to survey analytics, including experiment ideation, experimental design, monitoring, data analysis, code review, and communication of results",3.9,"2U
3.9","Brooklyn, NY",1001 to 5000 Employees,2008,Company - Public,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
VP Data Science/Machine Learning,$119K - $179K (Employer est.),"VP Data Science/Machine Learning
PLEASE APPLY through the WEBSITE https://jobs.lever.co/enlitic/
About Us
We are shaping the next generation of diagnostic healthcare tools to help patients around the globe. By using AI and deep learning, we help Radiologists diagnose earlier and with more accuracy. We believe we are working on one of the biggest impact opportunities in healthcare and are deploying our technology around the globe. Our mission is to bridge human and artificial intelligence to advance medical diagnostics to improve patient outcomes. We have been featured on TED, CNN, WSJ, NYTimes, Inc,
Fortune, named 5th smartest AI company by MIT Tech Review.",3.4,"Enlitic
3.4","Fort Collins, CO",1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Senior Data Scientist,$119K - $179K (Employer est.),"MetLife Legal Plans is the leading consumer legal service in the United States, providing the best legal services for working families. Through our network of over 17,000 attorneys, members of our legal insurance plans can resolve legal matters that range from buying a new home to adopting a child. You can learn more at legalplans.com.
Whether you are making a will after starting a family, negotiating the contract on your dream home, or just want the peace of mind of having our attorneys on your side, we make it easy and affordable to get quality legal help.
About the role
At MetLife Legal Plans, we build technology that makes it easy to solve legal problems. With millions of customers, we rely on data-driven decision making to improve our business. We are looking for a senior data scientist to join our team and help us organize and analyze all of our data.",-1,MetLife Legal Plans,Remote,-1,-1,-1,-1,-1,-1
Senior Data Scientist,$119K - $179K (Employer est.),"Your Opportunity

We are looking for a curious, optimistic, and innovative data scientist who takes initiative to solve problems that help our clients and one another succeed. Our large client base and multi-channel transaction volume offers a fertile data environment to build models, discover new insights, and guide decision-making at Schwab.

Data Science is an enterprise team within the Data, Analytics, and Insight (DAI) organization that builds models and provides advanced analytical support across all business units including retail, institutional, marketing, digital, and operations. Our data scientists collaborate directly with business, product, technology, and other analytical teams in DAI to solve complex business problems by building state-of-the-art models and tools to grow the business, streamline costs, and improve customer experiences.",3.9,"Charles Schwab
3.9","Lone Tree, CO",10000+ Employees,1973,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD)
Data Scientist,$119K - $179K (Employer est.),"Your Opportunity

We are looking for a curious, optimistic, and innovative data scientist who takes initiative to solve problems that help our clients and one another succeed. Our large client base and multi-channel transaction volume offers a fertile data environment to build models, discover new insights, and guide decision-making at Schwab.

Data Science is an enterprise team within the Data, Analytics, and Insight (DAI) organization that builds models and provides advanced analytical support across all business units including retail, institutional, marketing, digital, and operations. Our data scientists collaborate directly with business, product, technology, and other analytical teams in DAI to solve complex business problems by building state-of-the-art models and tools to grow the business, streamline costs, and improve customer experiences.",3.9,"Charles Schwab
3.9","Lone Tree, CO",10000+ Employees,1973,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD)
Sr. Data Analyst/Scientist,$119K - $179K (Employer est.),"Are you interested in defining the future of creativity by making it fast, fun, and frictionless to make sophisticated-looking content? Passionate about the next generation of users and building modern solutions that connect to leading social and digital platforms?
We are a group of storytellers, technology innovators, and change agents. Building off Adobe Spark’s initial success, we are now re-imagining (from the ground up!) the way people discover, create, and publish the full range of media types - from graphics to imaging to video - right in the browser and on their mobile devices. Our aim is to build fast and easy product experiences that enable students, social influencers, marketers, small businesses - really anyone with something to say - to make something that will stand out and impress their audience. Join us in building a new creativity platform that will help define Creative Cloud and Adobe’s Digital Media business!
We are seeking an experienced Sr Data Science Analyst to support the Adobe Spark and CC Education teams. This role is a strategic role, partnering with product managers and the leadership team making key decisions about the direction of our products. We’re looking for someone who has experience and passion about behavioral analysis for software products.",4.4,"Adobe
4.4","Seattle, WA",10000+ Employees,1982,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD)
Senior Data Scientist - Ads Optimization,$119K - $179K (Employer est.),"Your Job
This role sits within the SMB Ads Optimization Team. At Indeed, SMB Ads are sponsored jobs created by employers that are looking for the right candidates in Indeed’s marketplace. We decide which sponsored jobs will be presented to job seekers in different channels by considering the employer's willingness to pay. In Indeed’s search, one of Indeed’s main channels, we do this by solving an auction at search time. However, in general, we combine multiple bidding and pricing strategies with optimization algorithms to define the right pricing strategy at the right moment.

As a Data Scientist in the SMB Ads Optimization team, your role is to design and build different mechanisms to find the right value to charge our customers. We are looking for a mixture of statistician, scientist, machine learning expert, and engineer: someone who has passion for building and improving Internet-scale products informed by data. You will be directly influencing Indeed's ads platform's future and responsible for improving our marketplace experimentation strategy. Last but not least, you will spend time understanding and making sense of highly non-linear systems while figuring out how to optimize them.




We are a rapidly growing and highly-capable Engineering organization building the most popular job site on the planet. With engineering hubs in Seattle, San Francisco, Austin, Tokyo, Singapore, Hyderabad, Dublin, Aberdeen and Vancouver, we are improving people's lives all around the world, one job search at a time.",4.3,"Indeed
4.3",Remote,10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD)
Data Scientist,$119K - $179K (Employer est.),"Meet MedPro Group. We’re an industry-leading Berkshire Hathaway insurance company with a passion for our clients and our team. We are hundreds of professionals with varied backgrounds and experience levels who came together to achieve one goal: protecting those who have made it their mission to serve and care for others. Never considered the insurance industry before? We think you should.

What We Look For...

Experienced practitioners who are passionate about data and applying the latest machine learning technology to solve business problems.
Self-starters interested in growing with the department and a strong desire to see projects from beginning to end.
Driven and genuinely curious people who can accomplish tasks without extensive direction.

In this role you will...

Design and build the tools that progress the company along its digital journey.
Utilize a vast amount of data to help develop a deep understanding of underwriting risk and medical malpractice claims severity.
Build common analytic platforms across our diverse businesses.
Build natural language models for medical data extraction and better claim insights.
Declare, create, and test new programs, methodologies, and software.
Develop and implement Machine Learning / Deep Learning models.
Lead the monitoring and maintenance of models.
Communication to all affected departments. This includes the creation of appropriate documents (PowerPoint presentations, etc.) to be used in the communication of predictive model results to the company.
Mentor lower level associates.
Practice teamwork, flexibility and adaptability, obsessive client focus, results orientation, decision making and critical thinking, effective communication.

What Skills You Need...


Research, modeling or actuarial experience required. Healthcare / medical malpractice experience is preferred
Strong understanding of insurance related modeling and data, as well as current tools (software, existing code, theory) and data manipulation techniques
Strong math skills, including a working knowledge of multivariate calculus, linear algebra, basic probabilistic and statistical concepts, and regression


Strong Python/R programming skills required. Minimum 4+ years’ experience in Python/R scripting and manipulating data
Experience with Natural Language Processing/Text Mining or Healthcare
Experience in machine learning, including deep learning models
Ability to break down complex problems into simple tasks and elegant solutions


The ability to translate technical ideas into simple explanations to non-technical audiences
The ability to speak with precision and concision


Masters in Statistics or related field. A history of continued learning or accomplishment is preferred.
4+ years of technical experience with the above qualifications


Doctorate degree in Statistics or related field
Experience with multiple programming languages
Experience in linguistics or medical terminology
Experience with AWS Cloud services

Why Medpro?

MedPro Group’s mission is built on a century-old legacy of protecting those who protect others. From our roots in our hometown of Fort Wayne, Indiana, we've worked diligently to become the nation's premier healthcare liability coverage provider, currently insuring more than 300,000 customers. With that growth, we've built a significant presence in all 50 states. Our team works across the country to provide the best strategies to mitigate risk and preserve the reputations of those who have entrusted their good name to us. That passion – built on a foundation of a culture that values uncompromised integrity, obsessive client focus, great teamwork, and a long-term mindset – makes MedPro a preferred employer that many call their career home.

What’s in it for you?

Competitive benefits package with medical, dental, vision, and profit sharing.
Traditional and Roth 401k with company matching, fully vested on day one.
Continued education support and conference attendance.
Catered, discounted meals, gym, yoga studio with classes.
Additionally, this position may allow for flexible remote days or full remote, depending on candidate experience and skillset. Expect to be at headquarters for important deliverable meetings, Data Science team activities, and company activities.


MedPro Group is an Equal Opportunity Employer.",3.8,"MedPro Group
3.8",Remote,501 to 1000 Employees,1899,Subsidiary or Business Segment,Insurance Carriers,Insurance,$1 to $2 billion (USD)
